iter	Passed	Remaining
0	702	701570
1	704	351436
2	706	234699
3	708	176325
4	710	141335
5	712	118075
6	714	101379
7	721	89426
8	723	79715
9	729	72199
10	731	65792
11	735	60591
12	738	56056
13	742	52270
14	744	48914
15	747	45963
16	749	43355
17	753	41084
18	757	39118
19	760	37258
20	765	35678
21	767	34117
22	769	32685
23	773	31474
24	776	30284
25	779	29214
26	782	28184
27	784	27230
28	789	26428
29	791	25599
30	794	24837
31	797	24109
32	799	23413
33	809	23009
34	811	22383
35	813	21791
36	816	21241
37	818	20725
38	821	20246
39	824	19776
40	827	19359
41	830	18942
42	832	18538
43	835	18149
44	837	17778
45	839	17412
46	843	17110
47	846	16782
48	848	16459
49	850	16150
50	851	15850
51	853	15563
52	856	15312
53	860	15076
54	862	14818
55	864	14571
56	866	14330
57	868	14098
58	869	13873
59	875	13716
60	877	13506
61	879	13303
62	881	13106
63	883	12916
64	885	12731
65	890	12597
66	892	12424
67	894	12255
68	896	12091
69	897	11930
70	899	11775
71	904	11660
72	906	11512
73	908	11368
74	910	11228
75	912	11091
76	914	10957
77	915	10826
78	920	10726
79	921	10601
80	923	10477
81	925	10358
82	926	10232
83	927	10119
84	929	10007
85	931	9899
86	935	9822
87	937	9720
88	939	9619
89	941	9521
90	943	9425
91	945	9331
92	949	9264
93	951	9174
94	953	9085
95	955	8999
96	957	8914
97	959	8831
98	961	8748
99	966	8698
100	968	8619
101	970	8541
102	972	8466
103	973	8391
104	975	8318
105	980	8271
106	982	8202
107	984	8132
108	986	8064
109	988	7998
110	990	7932
111	992	7867
112	997	7827
113	999	7765
114	1001	7703
115	1002	7642
116	1004	7579
117	1006	7521
118	1008	7463
119	1012	7428
120	1014	7372
121	1016	7314
122	1018	7260
123	1020	7207
124	1022	7154
125	1023	7102
126	1026	7056
127	1028	7006
128	1030	6957
129	1032	6909
130	1034	6860
131	1036	6813
132	1040	6784
133	1042	6739
134	1044	6693
135	1046	6649
136	1048	6604
137	1050	6562
138	1052	6519
139	1057	6498
140	1059	6457
141	1061	6411
142	1063	6370
143	1064	6330
144	1066	6290
145	1071	6266
146	1073	6228
147	1075	6189
148	1077	6152
149	1079	6114
150	1080	6077
151	1082	6041
152	1087	6022
153	1089	5987
154	1091	5951
155	1093	5917
156	1095	5883
157	1097	5849
158	1101	5827
159	1103	5794
160	1105	5758
161	1106	5726
162	1108	5693
163	1110	5662
164	1112	5630
165	1117	5616
166	1120	5588
167	1122	5559
168	1128	5546
169	1132	5529
170	1135	5503
171	1137	5476
172	1140	5450
173	1142	5424
174	1145	5398
175	1148	5375
176	1150	5349
177	1153	5325
178	1155	5300
179	1161	5291
180	1164	5267
181	1166	5242
182	1168	5218
183	1171	5194
184	1173	5170
185	1180	5164
186	1182	5140
187	1184	5115
